occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
20/03/2017;Challenge culinaire du Président de la République 2017;Challenge culinaire du Président de la République 2017;3;2;Agence360;;;Gastronomie;3;excel
20/03/2017;Journée internationale du bonheur;Journée internationale du bonheur (A/RES/66/281);46;5;ONU;;;Jours spéciaux;3;
20/03/2017;Journée de la langue française;Journée de la langue française;21;4;ONU;;;Diversité;3;
20/03/2017;Décision dans le dossier du travail au noir sur le chantier de l'EPR;Le 20/03 - Décision dans le dossier du travail au noir sur le chantier de l'EPR - Cour n'appel - Caen;26;2;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
20/03/2017;Fête nationale de la Tuniqiue (indépendance en 1956);Jour de l'indépendance (1956).;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-204
20/03/2017;Equinoxe de printemps dans l'hémisphère nord;;18;2;Futura Sciences;;;Sciences;3;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
21/03/2017;Dîner Goût de France / Good France 2017;Dîner Goût de France / Good France 2017;3;3;Agence360;;;Gastronomie;3;excel
21/03/2017;Web Program Festival;8e édition du Web Program Festival;14;2;Agence360;;;High-tech;3;excel
21/03/2017;Salon I-expo 2017;34e édition du Salon I-expo 2017;14;2;Agence360;;;High-tech;3;excel
21/03/2017;Journée internationale pour l'élimination de la discrimination raciale;Journée internationale pour l'élimination de la discrimination raciale (A/RES/2142 (XXI));21;2;ONU;;;Diversité;3;
21/03/2017;Journée mondiale de la poésie;Journée mondiale de la poésie [UNESCO];6;3;ONU;;;Littérature;3;
21/03/2017;Journée internationale du Nowruz - Nouvel an persan;Journée internationale du Nowruz (A/RES/64/253);45;4;ONU;;;Fêtes étrangères;3;
21/03/2017;Journée mondiale de la trisomie 21 ;Journée mondiale de la trisomie 21 (A/RES/66/149) ;29;3;ONU;;;Santé;3;
21/03/2017;Journée internationale des forêts;Journée internationale des forêts (A/RES/67/200);23;2;ONU;;;Environnement;3;
